"","county","unempoy_rate","density","median_income","povery_rate","fips","is_rural","state","total_pop","long_trip","cases","deaths"
"1","Anderson",3.6,55.01,48461,19.8,"48001",1,"TX",57735,149208,47,6
"2","Andrews",3.1,9.85,74918,10.2,"48003",1,"TX",18705,41821,6,0
"3","Angelina",5.1,108.77,51750,15.6,"48005",1,"TX",86715,157483,92,4
"4","Aransas",6.8,91.87,53085,18.7,"48007",1,"TX",23510,22508,36,0
"5","Archer",3.4,10.03,63731,10.3,"48009",0,"TX",8553,11065,1,0
"6","Armstrong",2.5,2.09,64424,10.6,"48011",1,"TX",1887,3975,4,0
"7","Atascosa",4.2,36.83,57309,14.7,"48013",1,"TX",51153,86276,63,1
"8","Austin",4.3,43.95,68311,11.1,"48015",1,"TX",30032,46695,37,0
"9","Bailey",4.3,8.67,46174,15.9,"48017",1,"TX",7000,8770,25,0
"10","Bandera",3.6,25.9,59604,12.9,"48019",1,"TX",23112,20739,33,0
"11","Bastrop",3.5,83.51,62627,14,"48021",1,"TX",88723,69204,162,5
"12","Baylor",3.4,4.3,41539,15.9,"48023",1,"TX",3509,6349,2,0
"13","Bee",6.4,36.2,44171,24,"48025",1,"TX",32565,46863,36,2
"14","Bell",4.2,295.18,54831,13.8,"48027",0,"TX",362924,423291,2399,12
"15","Bexar",3.5,1383.08,58956,15.2,"48029",0,"TX",2003554,1612875,4576,56
"16","Blanco",2.7,14.8,68404,8.6,"48031",1,"TX",11931,10080,26,1
"17","Bosque",4,18.53,55179,13.7,"48035",1,"TX",18685,33078,7,2
"18","Bowie",4.5,104.59,51207,16.8,"48037",0,"TX",93245,150941,609,5
"19","Brazoria",5.3,230.66,83704,8.6,"48039",0,"TX",374264,304481,676,14
"20","Brazos",3.1,332.83,54471,20,"48041",0,"TX",229211,245113,409,11
"21","Brewster",3.5,1.49,48581,13.1,"48043",1,"TX",9203,17095,5,1
"22","Briscoe",4.3,1.82,44259,15,"48045",1,"TX",1546,1710,3,0
"23","Brooks",8.2,7.66,31410,29.6,"48047",1,"TX",7093,18652,30,0
"24","Brown",3.8,40.35,56040,13.7,"48049",1,"TX",37864,76004,78,2
