"","county","long_trip","cases","deaths","median_income","total_pop","is_rural","unemployed","density","lt17","gt65","in_poverty"
"1","Anderson",149208,47,6,48461,57735,1,2078,55.01,10981,9514,11431
"2","Andrews",41821,6,0,74918,18705,1,579,9.85,5802,2040,1907
"3","Angelina",157483,92,4,51750,86715,1,4422,108.77,22060,16155,13527
"4","Aransas",22508,36,0,53085,23510,1,1598,91.87,4168,7473,4396
"5","Archer",11065,1,0,63731,8553,0,290,10.03,1843,1850,880
"6","Armstrong",3975,4,0,64424,1887,1,47,2.09,426,514,200
"7","Atascosa",86276,63,1,57309,51153,1,2148,36.83,13908,8435,7519
"8","Austin",46695,37,0,68311,30032,1,1291,43.95,7159,6567,3333
"9","Bailey",8770,25,0,46174,7000,1,301,8.67,2153,1166,1113
"10","Bandera",20739,33,0,59604,23112,1,832,25.9,3806,7009,2981
"11","Bastrop",69204,162,5,62627,88723,1,3105,83.51,22509,15065,12421
"12","Baylor",6349,2,0,41539,3509,1,119,4.3,802,990,557
"13","Bee",46863,36,2,44171,32565,1,2084,36.2,6822,4539,7815
"14","Bell",423291,2399,12,54831,362924,0,15242,295.18,99985,45038,50083
"15","Bexar",1612875,4576,56,58956,2003554,0,70124,1383.08,506498,276290,304540
"16","Blanco",10080,26,1,68404,11931,1,322,14.8,2120,3267,1026
"17","Bosque",33078,7,2,55179,18685,1,747,18.53,3929,5302,2559
"18","Bowie",150941,609,5,51207,93245,0,4196,104.59,21977,17856,15665
"19","Brazoria",304481,676,14,83704,374264,0,19835,230.66,97720,50263,32186
"20","Brazos",245113,409,11,54471,229211,0,7105,332.83,47286,24204,45842
"21","Brewster",17095,5,1,48581,9203,1,322,1.49,1679,2476,1205
"22","Briscoe",1710,3,0,44259,1546,1,66,1.82,301,456,231
"23","Brooks",18652,30,0,31410,7093,1,581,7.66,1949,1461,2099
"24","Brown",76004,78,2,56040,37864,1,1438,40.35,8171,8674,5187
"25","Burleson",23925,46,0,61745,18443,1,756,26.08,4016,4387,2545
"26","Burnet",46852,112,2,62827,48155,1,1540,43,10146,12139,5056
"27","Caldwell",49943,68,2,55301,43664,0,1702,69.81,10151,7243,6287
"28","Calhoun",31349,80,0,55909,21290,1,1234,42.18,5096,4451,3129
"29","Callahan",30839,12,1,50812,13943,1,515,15.06,3053,3304,1687
"30","Cameron",569022,1034,28,40893,423163,0,29198,455.95,126568,65971,107906
"31","Camp",20408,64,0,47091,13094,1,733,63.33,3447,2723,2173
"32","Carson",5937,64,0,69760,5926,1,189,6.72,1386,1379,503
"33","Cass",63442,181,1,44529,30026,1,1801,32.51,6662,7677,5194
