"County","% High School Graduate or Higher","% Bachelor s Degree or Higher","Unemployment Rate (%)"
"Anderson","81.3","10.6","3.6"
"Andrews","72.3","12.2","3.1"
"Angelina","81.9","16.9","5.1"
"Aransas","84.5","21.9","6.8"
"Archer","90.3","23.9","3.4"
"Armstrong","86.9","22.8","2.5"
"Atascosa","77.1","14.4","4.2"
"Austin","84","23.9","4.3"
"Bailey","76.9","17.2","4.3"
"Bandera","89.3","22.8","3.6"
"Bastrop","81.9","20.7","3.5"
"Baylor","85.5","22.8","3.4"
"Bee","75.4","8.9","6.4"
"Bell","91","25.2","4.2"
"Bexar","84.2","28","3.5"
"Blanco","90.1","26.5","2.7"
"Borden","94.7","39.5","3.5"
"Bosque","86.5","19.8","4.0"
"Bowie","88.8","20.6","4.5"
"Brazoria","87.9","30","5.3"
"Brazos","87.2","41.7","3.1"
"Brewster","85.7","40","3.5"
"Briscoe","86.1","19.8","4.3"
"Brooks","68.8","15.7","8.2"
"Brown","87.2","19.1","3.8"
"Burleson","82.5","17.3","4.1"
"Burnet","88.3","25.4","3.2"
"Caldwell","78.2","14.6","3.9"
"Calhoun","79.3","14.2","5.8"
"Callahan","88.2","21","3.7"
"Cameron","67.9","17.3","6.9"
"Camp","87.2","19.4","5.6"
"Carson","93.3","28.4","3.2"
"Cass","85.9","16.4","6.0"
"Castro","74.1","15.6","3.3"
"Chambers","88.5","22.7","6.5"
"Cherokee","79","17.2","4.5"
"Childress","82","18.3","3.0"
"Clay","90.5","21.4","3.6"
"Cochran","67.7","8","4.6"
"Coke","83.7","17.8","3.7"
"Coleman","86.5","15.8","4.4"
"Collin","93.8","52.3","3.4"
"Collingsworth","73.9","20.2","3.6"
"Colorado","83.1","21","3.8"
"Comal","92.6","36.8","3.4"
"Comanche","84.5","20.3","3.7"
"Concho","67.9","13","4.2"
"Cooke","86.1","20.9","3.6"
"Coryell","88","16.1","4.3"
"Cottle","76.2","16.8","4.3"
"Crane","79.5","14.7","5.3"
"Crockett","77","14","4.1"
"Crosby","76","13.2","4.1"
"Culberson","66.3","10.2","3.6"
"Dallam","70.4","15.8","2.1"
"Dallas","79.3","31.5","3.8"
"Dawson","69.9","14.2","4.9"
"Deaf Smith","73.8","12","3.1"
"Delta","87.8","25.1","3.3"
"Denton","92.5","45.1","3.3"
"DeWitt","80.8","12.6","4.4"
"Dickens","84.4","18.5","4.7"
"Dimmit","66.4","13.6","5.1"
"Donley","88.7","17.9","3.6"
"Duval","68.6","9","7.7"
"Eastland","84.4","16","4.3"
"Ector","76","15.4","4.1"
"Edwards","72.1","18.2","3.2"
"El Paso","78.5","23.3","4.6"
"Ellis","86.2","24.3","3.4"
"Erath","88.3","31.5","3.4"
"Falls","76.9","12.4","4.2"
"Fannin","85.5","17.4","3.3"
"Fayette","86.1","19.7","3.2"
"Fisher","86.1","18.6","3.5"
"Floyd","74.2","15.9","5.5"
"Foard","81.9","16.2","3.4"
"Fort Bend","90.6","46.2","4.6"
"Franklin","91.3","26.6","4.6"
"Freestone","82.6","15.3","6.3"
"Frio","66.2","7.3","3.8"
"Gaines","61.8","11.4","3.0"
"Galveston","89","31.1","5.2"
"Garza","61.6","13.9","3.3"
"Gillespie","89","32.2","2.6"
"Glasscock","69.4","27.2","2.6"
"Goliad","83","17.3","4.9"
"Gonzales","76.7","13.1","3.5"
"Gray","80.2","13.9","5.3"
"Grayson","88.7","20.4","3.5"
"Gregg","84.1","21.3","5.1"
"Grimes","80.6","15.7","5.3"
"Guadalupe","88.7","28.2","3.3"
"Hale","76.6","17.1","5.1"
"Hall","79.6","15.9","6.2"
"Hamilton","84","22.4","3.9"
"Hansford","67.8","15.1","2.5"
"Hardeman","78.9","13.7","3.9"
"Hardin","88","16.8","6.1"
"Harris","81.4","31.5","5.0"
"Harrison","85.3","19.1","5.2"
"Hartley","82.6","17.8","2.0"
"Haskell","70.3","11.9","4.7"
"Hays","90.1","37.2","3.1"
"Hemphill","82.1","21.2","2.5"
"Henderson","83.5","17.3","4.2"
"Hidalgo","65.7","18.7","7.4"
"Hill","83.5","17.4","3.9"
"Hockley","76.2","15.8","3.7"
"Hood","89.4","26.4","4.2"
"Hopkins","84.9","20.1","3.6"
"Houston","81.2","15.2","4.2"
"Howard","80","12.6","4.3"
"Hudspeth","55.5","10.7","6.0"
"Hunt","84.5","19.9","3.9"
"Hutchinson","86","14","6.0"
"Irion","93.2","15","3.0"
"Jack","82","13.5","3.7"
"Jackson","82.4","16.5","4.0"
"Jasper","85","12.9","7.4"
"Jeff Davis","78.9","30.5","3.1"
"Jefferson","84.2","19.7","7.3"
"Jim Hogg","74.5","13.4","7.2"
"Jim Wells","74.9","12.2","7.5"
"Johnson","85.7","18.7","3.8"
"Jones","78.4","11.7","5.3"
"Karnes","75.7","15.3","3.5"
"Kaufman","85.8","20.5","3.5"
"Kendall","92.8","42.1","3.1"
"Kenedy","26.4","1","3.3"
"Kent","85.8","25.4","2.6"
"Kerr","88.6","27.4","3.4"
"Kimble","85.1","22.5","3.5"
"King","79.7","20.9","3.7"
"Kinney","78.5","12.1","5.5"
"Kleberg","78.4","24.6","5.9"
"Knox","81.9","20.1","4.0"
"La Salle","63.6","7.5","3.7"
"Lamar","84.3","18.7","4.2"
"Lamb","74.9","14.4","5.2"
"Lampasas","91","19.9","3.7"
"Lavaca","85.6","16.7","3.6"
"Lee","84.6","14.6","3.3"
"Leon","81.8","14","6.3"
"Liberty","77.3","9.7","7.1"
"Limestone","81.1","14.8","5.5"
"Lipscomb","82.1","19.7","3.2"
"Live Oak","76.9","12.2","4.7"
"Llano","85.8","25.3","3.7"
"Loving","80.3","0","5.0"
"Lubbock","86.2","30.1","3.2"
"Lynn","75.4","17.3","3.8"
"Madison","80.8","14.7","4.6"
"Marion","85.2","14.7","5.7"
"Martin","77.4","18.3","3.2"
"Mason","87.7","27.6","3.3"
"Matagorda","80.6","17.4","7.2"
"Maverick","59.5","12.7","9.3"
